PT Conditions:
C, 
1450,
GPa,
7,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
O,    38.28,0.13,22.86,38.94,0.13,0.09,0.45,0.12,0.1,0.66,0.02,0.02
Opx,        54.76,1.2,13.5,27.97,1.47,0.47,0.93,0.45,0.17,0.46,0.31,0.06
Cpx,        54.62,2.29,11.74,20.18,9.61,1.67,0.35,0.19,0.39,0.48,0.66,0.08
Gt_maj,   41.24,23.62,14.04,17.57,4.29,0.06,0.62,0.43,0.54,0.28,0.15,0.01
