,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    38.67,0.15,22.76,39.77,0.12,0.06,0.23,0.13,0.82,0.53,0.02,0.02
Wadsleyite, 0,0,0,0,0,0 
Ringwoodite, 0,0,0,0,0,0 
Opx,        54.91,1.47,13.53,27.74,1.95,0.47,0.53,0.14,0.24,0.64,0.46,0.09
Cpx,        54.34,3.37,10.07,18.31,12.11,1.92,0.31,0.15,0.3,0.71,0.6,0.12
C2/c,       0,0,0,0,0,0 
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   41.62,22.81,14.67,17.37,4.38,0.06,0.25,0.68,0.83,0.36,0.42,0.02
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
